electeur	auteur	vote	version
marieannepaveau	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
cordelier	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
grasisabelle	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
gregorblotjulienne	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
olivierlegall1	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
alexandrenolin	consortiumcouperin	0	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
francoisrevol	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
juliengilet1	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
courtoischantal	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
odilecontat	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
samsond	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
chauvinbrigitte	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
leinardifrancesca	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
millan1	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
anniebuffeteau	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
brunoringeval	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
carolinegayral	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
fortyannick	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
eliemichel	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
fourquet	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
cremonini	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
nathaliemarcerouramel	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
thierryfournier	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
mihaelasighireanu	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
ludivineabd	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
geoffreyharaux	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
helenelaxenaire	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
mathieusaby	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
maximeaudinot	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
baratault	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
olivierchapuis	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
florencedegorgue	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
geraldineniateldacos	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
jeanchristophepeyssard	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
xavierdesforges	consortiumcouperin	0	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
guillaumecabanac	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
duflotjeanluc	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
mathieuperona	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
meyer	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
carmeantoine	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
gregallaire	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
armandfrancoise	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
sbauin	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
chiffoleau	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
