auteur	electeur	version
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	jeanbaptistesoufron	pierre1
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	jeanbaptistesoufron	mathurindorel
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	jeanbaptistesoufron	oliviersery
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	jeanbaptistesoufron	alexanderdoria
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	jeanbaptistesoufron	matthieuchassain
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	jeanbaptistesoufron	jonathancrequer
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	cfc
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	philippebeauvillard
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	federationnationaledelapressedinformationspecialisee
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	raveau
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	annickweilbarais
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	pascalfouche
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	charlesruelle
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	francoisgeze
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	manueladournes
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	revuedhistoiremoderneetcontemporaine
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	patrickfenouil
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	laurentberardquelin
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	federationnationaledelapressedinformationspecialisee	jeanmarcbocabeille
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	damgau
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	isabelleramade
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	patriciachauvard
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	camillegautron
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	aicardistephane
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	francisandre
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	sarahcadorel
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	jeannevarasco
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	ceciliacardon
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	magaliemoysan
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	alainmarois
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	lebot
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	charlottemaday
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	antoinelejay
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	auguiekatell
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	georgespascal
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	dufay
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	samuelhornus
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	georges1
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	odilebenassy2
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	cavetdominique
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	dsa
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	labaune
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	yadlajoie
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	vincentreverdy
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	linasbeih1
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	laetitiabrasseurwild
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	derory
mentionner-les-donnees-de-la-recherche	associationdesarchivistesfrancais	helenechambefort
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	jeromeveron
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	mariehoarau
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	dallenazebi
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	masson7
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	jeannevarasco
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	benoitloisel
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	olivierblin
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	corinegireau
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	guillaumerobert
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	sevankazandjian
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	sr
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	dsa
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	durandaline	chekib1
