version	auteur	electeur	vote
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	collinannabelle	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	christophepavlides	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	elodieeifler	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	antoineamarilli	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	louiseberaudlefranc	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	julianbh	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	christofschoch	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	thomaslamarche	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	nicolaspetitdemange	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	olivierdessombz	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	jeanpierregeorge	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	jeremiedetrey	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	arramyleroux	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	villoing	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	estellemunoz	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	guillainpotron	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	jeanfrancoislutz	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	hugol	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	briec	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	yannserot	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	laurepecquerie	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	sophiedf	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	frederiqueflamerie	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	clairelemercier	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	maxb	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	juriconnexion	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	hendelmartin	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	clairesaulou	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	baselopresse	-1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	alainmarois	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	quintardmichel	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	anthoinebourgeois	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	godefroybeauvallet	0
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	isabellegouat	1
